dagiː	dagiːf	ADJ;PSS1S
ukunmiː	ukunmiːwə	N;ACC;DEF;SG
kərgə	kərgəlin	N;NOM;PL;PSS3S
beːγaltan	beːγaltan	ADJ
ə		V;IPFV;FIN;IND;PL;2;ACT
hokori		V;FIN;IND;SG;2;PST;PASS
amaːkaː	amaːkaːw	N;NOM;SG;PSS1S
ʃamanitkaːn	ʃamanitkaːn	N;NOM;SG
haːrgi	haːrgil	N;NOM;PL
ə	əďən	V;FIN;IND;SG;3;FUT+IMMED;ACT
bega	begajə	N;ACC;INDF;SG
gərbiːśiː	gərbiːśiːduː	ADJ;DAT
dantaki	dantakilwə	N;ACC;DEF;PL
aγata	aγataduk	N;ABL;SG
amar	amartpi	N;INS;SG;PSSRS
kaʃuna	kaʃunarə	V;FIN;IND;PL;3;PST;ACT
uśit	uśitrən	V;FIN;IND;SG;3;PST;ACT
urə	urəlduː	N;DAT;PL
doːldiː	doːldiːm	V;FIN;IND;SG;1;PST;ACT
əkspeditsiji	əkspeditsijil	N;NOM;PL
guːɲ	guːɲďərə	V;IPFV;FIN;IND;PL;3;PRS;ACT
aːnŋət	aːnŋətrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
noː	noːkəldu	V;FIN;IMP;PL;2;ACT
guďeːj	guďeːj	ADJ
śəwərnaj	śəwərnajlaː	N;TERM;SG
inŋəktəśi	inŋəktəśi	ADJ
ďəp	ďəpdaŋnərə	V;HAB+IPFV;FIN;IND;PL;3;PRS;ACT
lu	lulwə	N;ACC;DEF;PL
kaltaka	kaltakan	N;NOM;SG;PSS3S
uďa	uďaliːtin	N;PROL;SG;PSS3P
uŋtuwun	uŋtuwunji	N;SG;PSSRS+ACC
əmə	əməďəŋoːw	V;FIN;IND;SG;1;FUT;ACT
ďəptilə	ďəptilətin	N;NOM;SG;PSS3P
hoktə	hoktət	N;INS;SG
bargidaː	bargidaːduk	N;ABL;SG
inoŋi	inoŋil	N;NOM;PL
umun	umunduː	N;DAT;SG
əkśə	əkśərə	V;FIN;IND;PL;3;PST;ACT
duː	duːlaː	N;TERM;SG
hawal	hawalďəŋnərəwun	V;HAB+IPFV;FIN;IND;PL;1+EXCL;PRS;ACT
ɲuŋi	ɲuŋin	ADJ;PSS3S
goro	gorowə	N;ACC;DEF;SG
ərdi	ərdin	ADJ;PSS3S
tuksa	tuksahinə	V;SEMEL;FIN;IND;PL;3;PST;ACT
ďəlakiːwəl	ďəlakiːwəl	N;NOM;SG
peːreːm	peːreːm	ADJ
hukti	huktiwoːt	V;FIN;IMP;PL;1+INCL;ACT
haː	haːm	V;FIN;IND;SG;1;PST;ACT
hutə	hutəji	N;SG;PSSRS+ACC
t͡ʃok	t͡ʃokm	V;FIN;IND;SG;1;PST;ACT
hitəːn	hitəːnlaː	N;TERM;SG
muldiːka	muldiːkal	N;NOM;PL
ijo	ijo	N;NOM;SG
inŋəni	inŋənil	N;NOM;PL
hukti	huktiďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
putoran	putoranduː	N;DAT;SG
bi	biďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
homoːtiː	homoːtiː	N;NOM;SG
haː	haːm	V;FIN;IND;SG;1;PST;ACT
tuŋaɲama	tuŋaɲama	N;NOM;SG
ili	iliŋkiːwun	V;FIN;IND;PL;1+EXCL;PST+RMT;ACT
otojo	otojoďərən	V;IPFV;FIN;IND;SG;3;PRS;ACT
ulgut͡ʃəː	ulgut͡ʃəːďəm	V;IPFV;FIN;IND;SG;1;PRS;ACT
duku	dukuďəm	V;FIN;IND;SG;1;FUT+IMMED;ACT
əki	əkiw	N;NOM;SG;PSS1S
hokto		N;PROL;SG;PSS1S
hilba		V;IPFV;FIN;IND;SG;2;ACT
doːldiː	doːldiːrən	V;FIN;IND;SG;3;PST;ACT
ďuː	ďuːlaːwər	N;TERM;SG;PSSRP
awa	awa	N;NOM;SG
əmkəŋoti	əmkəŋoti	N;NOM;SG
irəksə	irəksəŋilbi	N;PL;PSSRS+ACC+ALN
umnə	umnət	N;INS;SG
inməruk	inmərukdukpi	N;ABL;SG;PSSRS
doːldiː	doːldiːrəw	V;FIN;IND;PL;1+EXCL;PST;ACT
gurusmoːdə		V;COM;FIN;IND;PL;ACT
tikəɲiː	tikəɲiːl	ADJ;PL
doːɲťa	doːɲťaďəŋkiːn	V;IPFV;FIN;IND;SG;3;PST+RMT;ACT
